2015-03-18 19:03:49 status unpacked sysvinit:armhf 2.88dsf-41+deb7u1
2015-03-18 19:03:49 status unpacked sysvinit:armhf 2.88dsf-41+deb7u1
2015-03-18 19:03:49 install sysvinit-utils:armhf <none> 2.88dsf-41+deb7u1
2015-03-18 19:03:49 status half-installed sysvinit-utils:armhf 2.88dsf-41+deb7u1
2015-03-18 19:03:49 status unpacked sysvinit-utils:armhf 2.88dsf-41+deb7u1
2015-03-18 19:03:49 status unpacked sysvinit-utils:armhf 2.88dsf-41+deb7u1
2015-03-18 19:03:49 install tar:armhf <none> 1.26+dfsg-0.1
2015-03-18 19:03:49 status half-installed tar:armhf 1.26+dfsg-0.1
2015-03-18 19:03:50 status unpacked tar:armhf 1.26+dfsg-0.1
2015-03-18 19:03:50 status unpacked tar:armhf 1.26+dfsg-0.1
2015-03-18 19:03:50 install tzdata:all <none> 2014j-0wheezy1
2015-03-18 19:03:50 status half-installed tzdata:all 2014j-0wheezy1
2015-03-18 19:03:51 status unpacked tzdata:all 2014j-0wheezy1
2015-03-18 19:03:51 status unpacked tzdata:all 2014j-0wheezy1
2015-03-18 19:03:51 install libustr-1.0-1:armhf <none> 1.0.4-3
2015-03-18 19:03:51 status half-installed libustr-1.0-1:armhf 1.0.4-3
2015-03-18 19:03:52 status unpacked libustr-1.0-1:armhf 1.0.4-3
2015-03-18 19:03:52 status unpacked libustr-1.0-1:armhf 1.0.4-3
2015-03-18 19:03:52 install bsdutils:armhf <none> 1:2.20.1-5.3
2015-03-18 19:03:52 status half-installed bsdutils:armhf 1:2.20.1-5.3
2015-03-18 19:03:52 status unpacked bsdutils:armhf 1:2.20.1-5.3
2015-03-18 19:03:52 status unpacked bsdutils:armhf 1:2.20.1-5.3
2015-03-18 19:03:52 install libblkid1:armhf <none> 2.20.1-5.3
2015-03-18 19:03:52 status half-installed libblkid1:armhf 2.20.1-5.3
2015-03-18 19:03:52 status unpacked libblkid1:armhf 2.20.1-5.3
2015-03-18 19:03:52 status unpacked libblkid1:armhf 2.20.1-5.3
2015-03-18 19:03:52 install libmount1:armhf <none> 2.20.1-5.3
2015-03-18 19:03:52 status half-installed libmount1:armhf 2.20.1-5.3
2015-03-18 19:03:53 status unpacked libmount1:armhf 2.20.1-5.3
2015-03-18 19:03:53 status unpacked libmount1:armhf 2.20.1-5.3
2015-03-18 19:03:53 install libuuid1:armhf <none> 2.20.1-5.3
2015-03-18 19:03:53 status half-installed libuuid1:armhf 2.20.1-5.3
2015-03-18 19:03:53 status unpacked libuuid1:armhf 2.20.1-5.3
2015-03-18 19:03:53 status unpacked libuuid1:armhf 2.20.1-5.3
2015-03-18 19:03:53 install mount:armhf <none> 2.20.1-5.3
2015-03-18 19:03:53 status half-installed mount:armhf 2.20.1-5.3
2015-03-18 19:03:53 status unpacked mount:armhf 2.20.1-5.3
2015-03-18 19:03:53 status unpacked mount:armhf 2.20.1-5.3
2015-03-18 19:03:53 install util-linux:armhf <none> 2.20.1-5.3
2015-03-18 19:03:53 status half-installed util-linux:armhf 2.20.1-5.3
2015-03-18 19:03:54 status unpacked util-linux:armhf 2.20.1-5.3
2015-03-18 19:03:54 status unpacked util-linux:armhf 2.20.1-5.3
2015-03-18 19:03:55 install liblzma5:armhf <none> 5.1.1alpha+20120614-2
2015-03-18 19:03:55 status half-installed liblzma5:armhf 5.1.1alpha+20120614-2
2015-03-18 19:03:55 status unpacked liblzma5:armhf 5.1.1alpha+20120614-2
2015-03-18 19:03:55 status unpacked liblzma5:armhf 5.1.1alpha+20120614-2
2015-03-18 19:03:55 install xz-utils:armhf <none> 5.1.1alpha+20120614-2
2015-03-18 19:03:55 status half-installed xz-utils:armhf 5.1.1alpha+20120614-2
2015-03-18 19:03:55 status unpacked xz-utils:armhf 5.1.1alpha+20120614-2
2015-03-18 19:03:55 status unpacked xz-utils:armhf 5.1.1alpha+20120614-2
2015-03-18 19:03:55 install zlib1g:armhf <none> 1:1.2.7.dfsg-13
2015-03-18 19:03:55 status half-installed zlib1g:armhf 1:1.2.7.dfsg-13
2015-03-18 19:03:55 status unpacked zlib1g:armhf 1:1.2.7.dfsg-13
2015-03-18 19:03:55 status unpacked zlib1g:armhf 1:1.2.7.dfsg-13
2015-03-18 19:03:55 startup packages configure
2015-03-18 19:03:55 configure lsb-base:all 4.1+Debian8+deb7u1 <none>
2015-03-18 19:03:55 status unpacked lsb-base:all 4.1+Debian8+deb7u1
2015-03-18 19:03:55 status half-configured lsb-base:all 4.1+Debian8+deb7u1
2015-03-18 19:03:55 status installed lsb-base:all 4.1+Debian8+deb7u1
2015-03-18 19:03:55 configure ncurses-base:all 5.9-10 <none>
2015-03-18 19:03:55 status unpacked ncurses-base:all 5.9-10
2015-03-18 19:03:55 status unpacked ncurses-base:all 5.9-10
2015-03-18 19:03:55 status half-configured ncurses-base:all 5.9-10
2015-03-18 19:03:55 status installed ncurses-base:all 5.9-10
2015-03-18 19:03:55 configure sensible-utils:all 0.0.7 <none>
2015-03-18 19:03:55 status unpacked sensible-utils:all 0.0.7
